stream_id,stream_name,time_parameter,binsize_minutes,stream_type,stream_content,description,parameter_id,name,unit,fill_value,display_name,standard_name,parameter_precision,parameter_function_id,parameter_function_map,data_product_identifier,description,data_level,data_product_type,parameter_type,value_encoding
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1679,cg_eng_err_dlog_mgr,counts,-9999999,Cg Eng Err Dlog Mgr,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1680,cg_eng_err_dlogp1,counts,-9999999,Cg Eng Err Dlogp1,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1681,cg_eng_err_dlogp2,counts,-9999999,Cg Eng Err Dlogp2,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1682,cg_eng_err_dlogp3,counts,-9999999,Cg Eng Err Dlogp3,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1683,cg_eng_err_dlogp4,counts,-9999999,Cg Eng Err Dlogp4,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1684,cg_eng_err_dlogp5,counts,-9999999,Cg Eng Err Dlogp5,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1685,cg_eng_err_dlogp6,counts,-9999999,Cg Eng Err Dlogp6,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1686,cg_eng_err_dlogp7,counts,-9999999,Cg Eng Err Dlogp7,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1687,cg_eng_err_dlogp8,counts,-9999999,Cg Eng Err Dlogp8,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1688,cg_eng_err_rcmd,counts,-9999999,Cg Eng Err Rcmd,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1689,cg_eng_err_bcmd,counts,-9999999,Cg Eng Err Bcmd,,0,,,,Engineering CPM Controller Status Data,,,quantity,int32
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1690,cg_eng_errmsg_c_gps,1,empty,Cg Eng Errmsg C GPS,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1691,cg_eng_errmsg_c_pps,1,empty,Cg Eng Errmsg C PPS,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1692,cg_eng_errmsg_c_ctl,1,empty,Cg Eng Errmsg C CTL,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1693,cg_eng_errmsg_c_status,1,empty,Cg Eng Errmsg C Status,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1694,cg_eng_errmsg_superv,1,empty,Cg Eng Errmsg Superv,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1695,cg_eng_errmsg_c_power_sys,1,empty,Cg Eng Errmsg C Power Sys,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1696,cg_eng_errmsg_c_telem_sys,1,empty,Cg Eng Errmsg C Telem Sys,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1697,cg_eng_errmsg_c_irid,1,empty,Cg Eng Errmsg C IRID,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1698,cg_eng_errmsg_c_imm,1,empty,Cg Eng Errmsg C IMM,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1699,cg_eng_errmsg_cpm1,1,empty,Cg Eng Errmsg CPM1,,,,,,Engineering CPM Controller Status Data,,,quantity,string
507,cg_cpm_eng_cpm_recovered,7,20160,Engineering,Status Data,Engineering CPM Controller Status Data,1700,cg_eng_errmsg_d_ctl,1,empty,Cg Eng Errmsg D CTL,,,,,,Engineering CPM Controller Status Data,,,quantity,string
